;meta[language=es]
; id | key(hex) | key(str) | text
2119878000|85E8FBD1|skill_desc_wolf_set_ability1|Increases the duration of White Wolf by $S$ seconds (bonus increased by number of set pieces equipped).
2119878001|85E8FBD2|skill_desc_wolf_set_ability2|Reduces the cooldown of White Wolf by $S$ seconds and increases the damage multiplier from 25% to 50%.
2119878002|EFA7F95B|item_name_wolfschool_crossbow|Wolf School Crossbow
2119878003|EAA0CAA1|item_name_super_red_mutagen|Supreme Red Mutagen
2119878004|900F5213|item_name_super_green_mutagen|Supreme Green Mutagen
2119878005|6055C982|item_name_super_blue_mutagen|Supreme Blue Mutagen
2119878006|13269EB1|item_name_aerondight_ep2|Aerondight, The Sword of Destiny
2119878007|E2E48F93|skill_name_sword_s19|White Wolf
2119878008|CEA74419|skill_desc_sword_s19|Casting a sign while adrenaline is full will cause Geralt to temporarily trigger and awaken his untapped potential.In this state he is invincible for 5 seconds and then immune to all staggering effects. Also his vitality regenerates at an accelerated pace and all of his abilities deal 25% more damage for 10 seconds. Cannot be used again afterwords for 50 seconds. Slot Bonus: Geralt does not consume Adrenaline while White Wolf is active. All adrenaline is instead consumed when the effect ends.
2119878009|483C9092|attribute_name_aerondight|Each blow generates charges which increase sword damage by $S$%. Charges are lost over time or when receiving damage. A fully-charged sword always deals critical hit damage and ignores defenses. Is effective against both humans and monsters.
2119878010|15DDA91B|skill_desc_alchemy_s17|If Geralt's Toxicity is above 0, each opponent killed increases critical hit chance, damage, attack power and spell power by $I$% for the duration of that fight. Can be applied up to 25 times. Slot Bonus: Butcher of Blaviken's effects last until Geralt meditates.
2119878011|CEA74416|skill_desc_sword_s16|Geralt's Adrenaline Point loss upon taking damage is lowered by $I$% and increases his attack power by $I$%. Slot Bonus: Slot Bonus: If White Wolf is active, adds 10% additional damage reduction.
2119878012|8D17AAA2|skill_desc_alchemy_s7|When Geralt's Adrenaline Points are at their maximum, critical hit damage against the targeted enemy type is increased by $I$%. Increases monster damage resistance by $I$%. Slot bonus: Increases monster damage resistance by 2 levels;
2119878013|15DDA917|skill_desc_alchemy_s13|When Geralt consumes a mutagen decoction, his max Vitality is increased by $I$ for the decoction's effective duration. Increases Slashing, Piercing and Bludgeoning resistance by $I$%.
2119878014|15DDA918|skill_desc_alchemy_s14|Extends effective duration of all mutagen decoctions that Geralt has consumed by $I$%.Increases poison damage resistance by $I$%. Slot Bonus: Increases poison resistance by 2 levels
2119878015|1F70C022|skill_desc_sword_s3|Each of Geralt's Adrenaline points increase the chance of causing a brutal strike by $I$%. Brutal strikes increase overall critical hit damage bonuses by 25%. Increases critical hit damage by $I$% and increases damage resistance by $I$%. Slot Bonus: Increases Brutal Strike chance bonus for adrenaline by 50%.
2119878016|163A8E76|skill_desc_magic_s7|Increases Geralt's Igni Sign intensity by $I$%. Also increases the chance Igni will apply burning by $I$%. Increases burning resistance by $I$%.
2119878017|B1173FC6|skill_desc_magic_s16|Increases Geralt's Yrden Sign intensity by $I$%. Increases elemental damage resistance by $I$%.
2119878018|FF5FE15|skill_name_alchemy_s17|Butcher of Blaviken
2119878019|2A74C610|skill_desc_prev_alchemy_s18|Every known level 1 alchemy formula increases Geralt's maximum Toxicity by 1. Reduces mutagen decoction toxicity by 7.
2119878020|15DDA91C|skill_desc_alchemy_s18|Every known level 1 alchemy formula increases Geralt's maximum Toxicity by 1. Reduces mutagen decoction toxicity by 7.
2119878021|1517DDCF|skill_desc_alchemy_s18_2|Every known level 1 or 2 alchemy formula increases Geralt's maximum Toxicity by 1. Reduces mutagen decoction toxicity by 14.
2119878022|1517DDD0|skill_desc_alchemy_s18_3|Every known level 1, 2 or 3 alchemy formula increases Geralt's maximum Toxicity by 1. Reduces mutagen decoction toxicity by 21.
2119878023|1F70C028|skill_desc_sword_s9|Geralt's damage from hits received while dodging are reduced by $I$%. Also increases bleed damage resistance by $I$% and overall damage reduction by $I$%. Slot Bonus: Increases bleed and damage resistance by an additional level.
2119878024|CEA7442F|skill_desc_sword_s20|Geralt instantly gains one Adrenaline Point when entering combat. The Adrenaline Points generated by sword blows are increased by $I$%. Each adrenaline point now also adds $I$% critical damage bonus. Slot Bonus: Increases all of Geralt's bleed damage effects inflicted by swords by $I$.
2119878025|BCFF1D6B|skill_name_sword_s6|Violence
2119878026|1F70C025|skill_desc_sword_s6|Increases Geralt's attack power by $I$% and critical hit damage by $I$% for all sword attacks. Also adds $I$% damage reduction against all attacks. Slot Bonus: If Geralt is in White Wolf mode, his attack speed is 10% faster.
2119878027|1F70C027|skill_desc_sword_s8|Increases Geralt's strong critical hit chance by $I$% and strong attack critical hit damage by $I$%. Strong attacks now crush enemy armor and reduce their damage resistance by $I$%. Slot Bonus: Increases critical damage and hit bonus by 1 level.
2119878028|163A8E78|skill_desc_magic_s9|Increases Geralt's Sign Intensity by $I$%, attack power by $I$%, critical hit damage by $I$%. All enemies resistances are reduced by $I$% to all of Geralt's attacks. Also increases Elemental Damage resistances by $I$%.
2119878029|8D17AA9C|skill_desc_alchemy_s1|Increases Geralt's potion overdose threshold by $I$%. Reduces potion toxicity by $I$. Slot Bonus: Increases overdose threshold bonus by 1 level and toxicity reduction by 4.
2119878030|C5548B3B|skill_name_magic_s11|Control Over The Power
2119878031|B1173FC1|skill_desc_magic_s11|Increases Geralt's damage resistance by $I$% to all attacks. Also increases sign intensity by $I$%. Adds $I$ shock damage to all attacks. Slot Bonus: Increases all bonuses by 1 ability level.
2119878032|B6F909B5|skill_desc_prev_magic_s11|Increases Geralt's damage resistance, spell power and provides a passive shock damage bonus to all attacks.
2119878033|B1173FC0|skill_desc_magic_s10|Increases Geralt's Yrden Sign duration by $I$ seconds. Number of alternate mode charges: $I$. Number of Standard mode traps: $I$. Enemies under the influence of Yrden lose $I$ point(s) of Vitality or Essence per second. Receives additional damage from $I$ of spell power.
2119878034|C5548B3A|skill_name_magic_s10|The 5th Element
2119878035|1F70C023|skill_desc_sword_s4|Geralt's strong attack damage increased by $I$%. Increases bludgeoning damage resistance by $I$%. Increases vitality by $I$%.
2119878036|B1173FC4|skill_desc_magic_s14|Increases Geralt's damage reduction by $I$%, increases spell power by $I$% and attack power by $I$%. Also increases critical hit damage by $I$% and reduces enemy resistances by $I$%. Slot Bonus: Increases damage reduction and enemy resistance reduction by 1 ability level.
2119878037|C5548B3E|skill_name_magic_s14|Blessing Of Earth
2119878038|B6F909B7|skill_desc_prev_magic_s13|Geralt's Quen shield pushes opponents back when it breaks. Reflects $I$% absorbed damage back to the attacker.
2119878039|B1173FC3|skill_desc_magic_s13|Geralt's Quen shield pushes opponents back when it breaks. Reflects $I$% absorbed damage back to the attacker.
2119878040|C84666B6|skill_desc_magic_s13_2|Geralt's Quen shield pushes opponents back and deals damage when it breaks. Reflects $I$% absorbed damage back to the attacker.
2119878041|C84666B7|skill_desc_magic_s13_3|Geralt's Quen shield pushes opponents back and deals damage when it breaks with a chance for knock-down. Reflects $I$% absorbed damage back to the attacker.
2119878042|CEA74415|skill_desc_sword_s15|Each bolt Geralt fires that hits its target adds $F$ Adrenaline Points. Increases critical hit damage by $I$%.
2119878043|754D1899|skill_desc_perk_19|Geralt's Battle Trance now increases critical hit chance by $I$%, an additional $I$% critical hit damage and $I$% attack power per Adrenaline Point
2119878044|C84675BB|skill_desc_magic_s17_3|Target does not move towards Geralt while he is casting Axii. Increases the effectiveness of Axii in dialogues. Reduces Axii casting time. Axii can now be used on two opponents at the same time. Slot Bonus: Quadruples the amount of Crowns that Geralt receives from Quests and Gwent.
2119878045|B1173FC9|skill_desc_magic_s19|Increases Geralt's total sign intensity by $I$% and attack power by $I$%. Also reduces enemy resistances by $I$%. Slot Bonus: Casting Axii in combat will shield Geralt in Frost Armor, which reduces the next foe's attack by 25%. Frost Armor lasts until combat ends.
2119878046|B6F909BD|skill_desc_prev_magic_s19|Increases Geralt's total sign intensity by $I$% and attack power by $I$%. Also reduces enemy resistances by $I$%. Slot Bonus: Casting Axii in combat will shield Geralt in Frost Armor, which reduces the next foe's attack by 25%. Frost Armor lasts until combat ends.
2119878047|6C0D2B4A|item_name_aerondight_2_schematic|Aerondight Upgrade Schematic
2119878048|F1DE0B|item_name_aerondight_3_schematic|Aerondight Enhancement Schematic
2119878049|BD2F328E|item_name_aerondight_final_schematic|Aerondight Final Form Schematic
2119878050|698EA9D7|instant_kill_chance|Brutal Strike Chance
2119878051|65009139|item_name_viper_armor_final|White Wolf's Armor
2119878052|B1C041CE|item_name_viper_gloves_final|White Wolf's Gauntlets
2119878053|B6171216|item_name_viper_pants_final|White Wolf's Pants
2119878054|81DDEA3B|item_name_viper_boots_final|White Wolf's Boots
2119878055|15DDA933|skill_desc_alchemy_s20|Increases Geralt's maximum Vitality by $I$% when Toxicity exceeds the safe threshold. Also increases damage reduction by $I$%. Slot Bonus: Increases damage reduction by 2 levels.
2119878056|37010020|item_name_infatigable_mutagen|Infatigable Mutagen
2119878057|95A84526|item_desc_infatigable_mutagen|Increases attack power by 20%. Actions such as sprinting and jumping do not consume stamina outside of combat.
2119878058|FC921528|item_desc_mutagen_24|Gain 50% to Attack and Sign Power, +5/s to Stamina regeneration and +25% to Adrenaline gain while health is at 20% or lower. Resets when health is regained and at the end of combat. 10s cooldown.
2119878059|FC92152B|item_desc_mutagen_27|On casting a sign in combat, increases stamina regeneration by 1% and sign power by 1%, up to a maximum of 50%. The effect lasts for the duration of the decoction or until meditating.
2119878060|A6838C16|effect_white_wolf|White Wolf
2119878061|F3D3009D|effect_white_wolf_debuff|White Wolf Is On Cooldown
2119878062|E88691FE|item_name_solide_mutagen|Solide Mutagen
2119878063|12FDC138|item_desc_solide_mutagen|Increases vitality by 500. Adds 3% damage reduction against all attacks
2119878064|A6383EDC|item_name_hexer_mutagen|Hexer Mutagen
2119878065|D0E14062|item_desc_hexer_mutagen|Increases Sign Intensity By 20%. Casting the Axiii sign will inflict 400 damage on an enemy and restore a portion of Geralt's life. Damage and life scales with sign intensity.
